"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H4","All","23","All countries  All --- All  ","WLD"," World",2018,"Import",5,81254604.932
"H4","All","23","All countries  All --- All  ","WLD"," World",2019,"Export",6,75739492.353
"H4","All","23","All countries  All --- All  ","WLD"," World",2019,"Import",5,79408939.651
"H4","All","23","All countries  All --- All  ","WLD"," World",2020,"Export",6,80358246.357
"H4","All","23","All countries  All --- All  ","WLD"," World",2020,"Import",5,84386812.242
"H4","All","23","All countries  All --- All  ","WLD"," World",2021,"Export",6,95985095.436
"H4","All","23","All countries  All --- All  ","WLD"," World",2021,"Import",5,103662516.613
"H4","All","23","All countries  All --- All  ","WLD"," World",2022,"Export",6,108131619.869
"H4","All","23","All countries  All --- All  ","WLD"," World",2022,"Import",5,114814307.093
"H4","All","23","All countries  All --- All  ","WLD"," World",2023,"Export",6,109349689.547
"H4","All","23","All countries  All --- All  ","WLD"," World",2023,"Import",5,113125045.048
"H4","All","23","All countries  All --- All  ","WLD"," World",2024,"Export",6,102528230.099
"H4","All","23","All countries  All --- All  ","WLD"," World",2024,"Import",5,103890456.981
"H4","All","23","All countries  All --- All  ","WLD"," World",2025,"Export",6,51606374.153
"H4","All","23","All countries  All --- All  ","WLD"," World",2025,"Import",5,48831671.582
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2014,"Export",6,38180492.734
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2014,"Import",5,41344992.703
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2015,"Export",6,35348177.13
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2015,"Import",5,39191962.294
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2016,"Export",6,36489299.6
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2016,"Import",5,40147249.814
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2017,"Export",6,37801063.333
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2017,"Import",5,40912431.469
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2018,"Export",6,41169141.508
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2018,"Import",5,44023517.121
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2019,"Export",6,41872859.252
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2019,"Import",5,43732486.664
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2020,"Export",6,39327359.438
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2020,"Import",5,41753366.015
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2021,"Export",6,41229561.483
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2021,"Import",5,42783766.614
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2022,"Export",6,40440061.01
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2022,"Import",5,40723211.488
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2023,"Export",6,48168587.062
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2023,"Import",5,46217041.779
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2024,"Export",6,45710263.996
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2024,"Import",5,45915777.7
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2025,"Export",6,20397597.419
"H4","All","24","All countries  All --- All  ","All","All countries  All --- All  ",2025,"Import",5,23919852.074
"H4","All","24","All countries  All --- All  ","WLD"," World",2014,"Export",6,38180492.733
"H4","All","24","All countries  All --- All  ","WLD"," World",2014,"Import",5,41344992.704
"H4","All","24","All countries  All --- All  ","WLD"," World",2015,"Export",6,35348177.124
"H4","All","24","All countries  All --- All  ","WLD"," World",2015,"Import",5,39191962.286
"H4","All","24","All countries  All --- All  ","WLD"," World",2016,"Export",6,36489299.564
"H4","All","24","All countries  All --- All  ","WLD"," World",2016,"Import",5,40147249.829
"H4","All","24","All countries  All --- All  ","WLD"," World",2017,"Export",6,37801063.36
"H4","All","24","All countries  All --- All  ","WLD"," World",2017,"Import",5,40912431.485
"H4","All","24","All countries  All --- All  ","WLD"," World",2018,"Export",6,41169141.513
