year,x_kz_chn_bn,m_kz_chn_bn,x_kz_world_bn,tii,tii_note,hhi_export,hhi_note,tci,tci_note,tot,tot_note
2015,10.960275,10.175475,20.05369,5.551209,Computed from CHN/WLD and All/WLD detailed rows (summed by year).,.3199301617203228,Computed as annual export HHI to China.,13.457096,Computed from CHN grouped-sector import structure.,100,Computed from WDI unit value indices: TX.UVI / TM.UVI * 100.
2016,8.4298515,7.3251204,15.4473,5.7141795,Computed from CHN/WLD and All/WLD detailed rows (summed by year).,.354841162455642,Computed as annual export HHI to China.,13.431043,Computed from CHN grouped-sector import structure.,89.224571,Computed from WDI unit value indices: TX.UVI / TM.UVI * 100.
2017,11.595949,9.389904,20.872755,5.5631347,Computed from CHN/WLD and All/WLD detailed rows (summed by year).,.4216969870050911,Computed as annual export HHI to China.,13.304567,Computed from CHN grouped-sector import structure.,101.83398,Computed from WDI unit value indices: TX.UVI / TM.UVI * 100.
2018,12.614952,10.768327,23.1747,5.1561522,Computed from CHN/WLD and All/WLD detailed rows (summed by year).,.3920482628139282,Computed as annual export HHI to China.,13.832092,Computed from CHN grouped-sector import structure.,114.94893,Computed from WDI unit value indices: TX.UVI / TM.UVI * 100.
2019,16.007734,13.577251,27.349541,5.4975061,Computed from CHN/WLD and All/WLD detailed rows (summed by year).,.4012303961339388,Computed as annual export HHI to China.,14.856195,Computed from CHN grouped-sector import structure.,106.46387,Computed from WDI unit value indices: TX.UVI / TM.UVI * 100.
2020,13.673498,3.9105716,23.686686,5.0418572,Computed from CHN/WLD and All/WLD detailed rows (summed by year).,.3425767610309217,Computed as annual export HHI to China.,19.332165,Computed from CHN grouped-sector import structure.,85.893723,Computed from WDI unit value indices: TX.UVI / TM.UVI * 100.
2021,13.703805,4.8480463,27.739445,4.1729078,Computed from CHN/WLD and All/WLD detailed rows (summed by year).,.3862115420786343,Computed as annual export HHI to China.,19.847511,Computed from CHN grouped-sector import structure.,120.81261,Computed from WDI unit value indices: TX.UVI / TM.UVI * 100.
2022,20.923542,7.1500015,38.483105,5.0117459,Computed from CHN/WLD and All/WLD detailed rows (summed by year).,.3915323246400249,Computed as annual export HHI to China.,20.855082,Computed from CHN grouped-sector import structure.,144.24779,Computed from WDI unit value indices: TX.UVI / TM.UVI * 100.
2023,29.517372,33.54353,49.081638,5.5145826,Computed from CHN/WLD and All/WLD detailed rows (summed by year).,.3533574352651615,Computed as annual export HHI to China.,18.804199,Computed from CHN grouped-sector import structure.,124.49438,Computed from WDI unit value indices: TX.UVI / TM.UVI * 100.
2024,29.794954,30.306862,48.885414,5.4008708,Computed from CHN/WLD and All/WLD detailed rows (summed by year).,.3729625523226863,Computed as annual export HHI to China.,18.921179,Computed from CHN grouped-sector import structure.,119.42554,Computed from WDI unit value indices: TX.UVI / TM.UVI * 100.
