year,sector,rca,rca_note
2015,Agriculture,.63334531,Computed using sectoral_trade_clean world export baseline.
2015,Chemicals,3.5631168,Computed using sectoral_trade_clean world export baseline.
2015,Energy,.52156276,Computed using sectoral_trade_clean world export baseline.
2015,Machinery_Electrical,.44475609,Computed using sectoral_trade_clean world export baseline.
2015,Metals_Minerals,2.6671746,Computed using sectoral_trade_clean world export baseline.
2015,Other,1.4576703,Computed using sectoral_trade_clean world export baseline.
2015,Plastics_Rubber,.34584799,Computed using sectoral_trade_clean world export baseline.
2015,Stone_Ceramics,.0056156055,Computed using sectoral_trade_clean world export baseline.
2015,Textiles,.39428225,Computed using sectoral_trade_clean world export baseline.
2015,Vehicles,.05022718,Computed using sectoral_trade_clean world export baseline.
2015,Wood_Paper,.1588448,Computed using sectoral_trade_clean world export baseline.
2016,Agriculture,.84462798,Computed using sectoral_trade_clean world export baseline.
2016,Chemicals,3.4421687,Computed using sectoral_trade_clean world export baseline.
2016,Energy,.34043068,Computed using sectoral_trade_clean world export baseline.
2016,Machinery_Electrical,.74530506,Computed using sectoral_trade_clean world export baseline.
2016,Metals_Minerals,3.1024604,Computed using sectoral_trade_clean world export baseline.
2016,Other,.79105908,Computed using sectoral_trade_clean world export baseline.
2016,Plastics_Rubber,.067569092,Computed using sectoral_trade_clean world export baseline.
2016,Stone_Ceramics,.031811696,Computed using sectoral_trade_clean world export baseline.
2016,Textiles,.62952465,Computed using sectoral_trade_clean world export baseline.
2016,Vehicles,.62496763,Computed using sectoral_trade_clean world export baseline.
2016,Wood_Paper,.098286323,Computed using sectoral_trade_clean world export baseline.
2017,Agriculture,.89710766,Computed using sectoral_trade_clean world export baseline.
2017,Chemicals,4.290596,Computed using sectoral_trade_clean world export baseline.
2017,Energy,.24114712,Computed using sectoral_trade_clean world export baseline.
2017,Machinery_Electrical,.16692297,Computed using sectoral_trade_clean world export baseline.
2017,Metals_Minerals,3.2819979,Computed using sectoral_trade_clean world export baseline.
2017,Other,.27894351,Computed using sectoral_trade_clean world export baseline.
2017,Plastics_Rubber,.010805233,Computed using sectoral_trade_clean world export baseline.
2017,Stone_Ceramics,.0057547148,Computed using sectoral_trade_clean world export baseline.
2017,Textiles,3.2826478,Computed using sectoral_trade_clean world export baseline.
2017,Vehicles,1.8691157,Computed using sectoral_trade_clean world export baseline.
2017,Wood_Paper,.15663962,Computed using sectoral_trade_clean world export baseline.
2018,Agriculture,1.0919075,Computed using sectoral_trade_clean world export baseline.
2018,Chemicals,2.9479525,Computed using sectoral_trade_clean world export baseline.
2018,Energy,.40880787,Computed using sectoral_trade_clean world export baseline.
2018,Machinery_Electrical,.093200356,Computed using sectoral_trade_clean world export baseline.
2018,Metals_Minerals,3.6038384,Computed using sectoral_trade_clean world export baseline.
2018,Other,.20993772,Computed using sectoral_trade_clean world export baseline.
2018,Plastics_Rubber,.034993302,Computed using sectoral_trade_clean world export baseline.
2018,Stone_Ceramics,.020252688,Computed using sectoral_trade_clean world export baseline.
2018,Textiles,3.3383298,Computed using sectoral_trade_clean world export baseline.
2018,Vehicles,.44031271,Computed using sectoral_trade_clean world export baseline.
2018,Wood_Paper,.23706537,Computed using sectoral_trade_clean world export baseline.
2019,Agriculture,1.0889777,Computed using sectoral_trade_clean world export baseline.
2019,Chemicals,1.8019587,Computed using sectoral_trade_clean world export baseline.
2019,Energy,.49960926,Computed using sectoral_trade_clean world export baseline.
2019,Machinery_Electrical,.065727472,Computed using sectoral_trade_clean world export baseline.
2019,Metals_Minerals,2.9758904,Computed using sectoral_trade_clean world export baseline.
2019,Other,.13957772,Computed using sectoral_trade_clean world export baseline.
2019,Plastics_Rubber,.009762221,Computed using sectoral_trade_clean world export baseline.
2019,Stone_Ceramics,.033241522,Computed using sectoral_trade_clean world export baseline.
2019,Textiles,1.8533572,Computed using sectoral_trade_clean world export baseline.
2019,Vehicles,.091266811,Computed using sectoral_trade_clean world export baseline.
2019,Wood_Paper,.44722775,Computed using sectoral_trade_clean world export baseline.
2020,Agriculture,.94378138,Computed using sectoral_trade_clean world export baseline.
2020,Chemicals,2.377243,Computed using sectoral_trade_clean world export baseline.
2020,Energy,.57204771,Computed using sectoral_trade_clean world export baseline.
2020,Machinery_Electrical,0,Computed using sectoral_trade_clean world export baseline.
2020,Metals_Minerals,2.460814,Computed using sectoral_trade_clean world export baseline.
2020,Other,.069257855,Computed using sectoral_trade_clean world export baseline.
2020,Plastics_Rubber,.077270977,Computed using sectoral_trade_clean world export baseline.
2020,Stone_Ceramics,.0021849461,Computed using sectoral_trade_clean world export baseline.
2020,Textiles,.88746375,Computed using sectoral_trade_clean world export baseline.
2020,Vehicles,0,Computed using sectoral_trade_clean world export baseline.
2020,Wood_Paper,.28934985,Computed using sectoral_trade_clean world export baseline.
2021,Agriculture,.56310111,Computed using sectoral_trade_clean world export baseline.
2021,Chemicals,1.965939,Computed using sectoral_trade_clean world export baseline.
2021,Energy,.63738179,Computed using sectoral_trade_clean world export baseline.
2021,Machinery_Electrical,0,Computed using sectoral_trade_clean world export baseline.
2021,Metals_Minerals,2.3733785,Computed using sectoral_trade_clean world export baseline.
2021,Other,.083279178,Computed using sectoral_trade_clean world export baseline.
2021,Plastics_Rubber,.0093780132,Computed using sectoral_trade_clean world export baseline.
2021,Stone_Ceramics,.000053231593,Computed using sectoral_trade_clean world export baseline.
2021,Textiles,.80119061,Computed using sectoral_trade_clean world export baseline.
2021,Vehicles,0,Computed using sectoral_trade_clean world export baseline.
2021,Wood_Paper,.053852301,Computed using sectoral_trade_clean world export baseline.
2022,Agriculture,.97951591,Computed using sectoral_trade_clean world export baseline.
2022,Chemicals,1.4972926,Computed using sectoral_trade_clean world export baseline.
2022,Energy,.73013192,Computed using sectoral_trade_clean world export baseline.
2022,Machinery_Electrical,0,Computed using sectoral_trade_clean world export baseline.
2022,Metals_Minerals,2.8214819,Computed using sectoral_trade_clean world export baseline.
2022,Other,.35969976,Computed using sectoral_trade_clean world export baseline.
2022,Plastics_Rubber,.00022968573,Computed using sectoral_trade_clean world export baseline.
2022,Stone_Ceramics,.00024303036,Computed using sectoral_trade_clean world export baseline.
2022,Textiles,.48870993,Computed using sectoral_trade_clean world export baseline.
2022,Vehicles,0,Computed using sectoral_trade_clean world export baseline.
2022,Wood_Paper,.066974089,Computed using sectoral_trade_clean world export baseline.
2023,Agriculture,1.2846746,Computed using sectoral_trade_clean world export baseline.
2023,Chemicals,1.2475891,Computed using sectoral_trade_clean world export baseline.
2023,Energy,.57314759,Computed using sectoral_trade_clean world export baseline.
2023,Machinery_Electrical,.41790456,Computed using sectoral_trade_clean world export baseline.
2023,Metals_Minerals,2.7676387,Computed using sectoral_trade_clean world export baseline.
2023,Other,.15368438,Computed using sectoral_trade_clean world export baseline.
2023,Plastics_Rubber,.31550318,Computed using sectoral_trade_clean world export baseline.
2023,Stone_Ceramics,.00045466269,Computed using sectoral_trade_clean world export baseline.
2023,Textiles,.94900012,Computed using sectoral_trade_clean world export baseline.
2023,Vehicles,.017081702,Computed using sectoral_trade_clean world export baseline.
2023,Wood_Paper,.0074929637,Computed using sectoral_trade_clean world export baseline.
2024,Agriculture,1.5111927,Computed using sectoral_trade_clean world export baseline.
2024,Chemicals,1.7492883,Computed using sectoral_trade_clean world export baseline.
2024,Energy,.34304279,Computed using sectoral_trade_clean world export baseline.
2024,Machinery_Electrical,.62710482,Computed using sectoral_trade_clean world export baseline.
2024,Metals_Minerals,3.5232382,Computed using sectoral_trade_clean world export baseline.
2024,Other,.015519598,Computed using sectoral_trade_clean world export baseline.
2024,Plastics_Rubber,.60045171,Computed using sectoral_trade_clean world export baseline.
2024,Stone_Ceramics,.00071334542,Computed using sectoral_trade_clean world export baseline.
2024,Textiles,1.1387166,Computed using sectoral_trade_clean world export baseline.
2024,Vehicles,.10944872,Computed using sectoral_trade_clean world export baseline.
2024,Wood_Paper,.0007535675,Computed using sectoral_trade_clean world export baseline.
