rank,sector,export_value,import_value,net_balance,total_avg
1,Metals_Minerals,7864.715345570474,1124.098353356156,6740.6172,8988.8135
2,Machinery_Electrical,201.9282644360196,6597.078540067427,-6395.1504,6799.0068
3,Energy,5711.553691329053,46.51338284898961,5665.0405,5758.0669
4,Chemicals,2014.060828775554,811.0840619254564,1202.9768,2825.1448
5,Textiles,81.48867605452993,1718.622727345656,-1637.134,1800.1115
6,Other,61.70691127966334,1652.221178522089,-1590.5143,1713.9281
7,Vehicles,9.385155063809568,1586.62943544292,-1577.2443,1596.0146
8,Agriculture,813.3451196962603,409.282909906646,404.06219,1222.6281
9,Plastics_Rubber,25.20260708010645,1020.44172428469,-995.23914,1045.6443
10,Stone_Ceramics,.1097016994595379,351.3937484745963,-351.28406,351.50345
