sector,net_balance2022,net_balance2023,net_balance2024,change_2022_2023,change_2023_2024
Textiles,-2346.34521484375,-6326.2646484375,-3155.124755859375,-3979.9194,3171.1399
Other,-691.1625366210938,-3945.76611328125,-3191.10205078125,-3254.6035,754.66406
Wood_Paper,-260.1800231933594,-551.1757202148438,-445.9039611816406,-290.9957,105.27176
Stone_Ceramics,-360.0370788574219,-477.527099609375,-559.10302734375,-117.49002,-81.575928
Energy,10694.1396484375,10578.05078125,6493.49755859375,-116.08887,-4084.5532
Plastics_Rubber,-1563.3076171875,-1547.196533203125,-1511.332763671875,16.111084,35.86377
Chemicals,542.8700561523438,1138.223022460938,2708.923828125,595.35297,1570.7008
Agriculture,633.2158813476563,1350.188842773438,1195.790649414063,716.97296,-154.39819
Metals_Minerals,7124.34716796875,11450.2109375,14016.814453125,4325.8638,2566.6035
Machinery_Electrical,,-11384.8095703125,-11455.470703125,,-70.661133
Vehicles,,-4310.09130859375,-4608.896484375,,-298.80518
