year,export_value,import_value,Balance,Total_Trade
2015,10960.274864068793,10175.475096421389,784.7997676474042,21135.749960490182
2016,8429.851886400857,7325.1202127019,1104.731673698957,15754.972099102757
2017,11595.94921271337,9389.904325199766,2206.0448875136044,20985.853537913135
2018,12614.952315395836,10768.326743937183,1846.6255714586532,23383.27905933302
2019,16007.733651412025,13577.251756605621,2430.481894806404,29584.985408017645
2020,13673.498286600941,3910.57152430059,9762.92676230035,17584.069810901532
2021,13703.804907041931,4848.046350175682,8855.758556866249,18551.85125721761
2022,20923.54141376332,7150.001525540263,13773.539888223057,28073.54293930358
2023,29517.37132805163,33543.52860223379,-4026.1572741821583,63060.89993028542
2024,29794.9542826069,30306.861722088324,-511.90743948142335,60101.816004695225
