year,exports_bn,imports_bn,total_trade_bn,trade_balance,deficit_ratio
2015,10.960275,10.175475,21.13575,.78479958,-.03713138
2016,8.4298515,7.3251204,15.754972,1.1047311,-.070119515
2017,11.595949,9.389904,20.985853,2.2060452,-.10512058
2018,12.614952,10.768327,23.383278,1.8466253,-.078972049
2019,16.007734,13.577251,29.584986,2.4304829,-.082152575
2020,13.673498,3.9105716,17.58407,9.7629261,-.55521429
2021,13.703805,4.8480463,18.551851,8.8557587,-.47735175
2022,20.923542,7.1500015,28.073544,13.77354,-.4906235
2023,29.517372,33.54353,63.060902,-4.0261574,.063845538
2024,29.794954,30.306862,60.101814,-.51190758,.0085173398
