year,x_kz_chn_bn,m_kz_chn_bn,x_kz_world_bn,m_kz_world_bn,import_dependence,export_dependence,asymmetry_ratio,import_dependence_pct,export_dependence_pct,tii,tii_status
2015,10.960275,10.175475,138.78528,85.89296,0.11846693,0.07897289,0.928396,11.846693,7.8972893,,Not identifiable from current files (missing China world imports and world total imports by year).
2016,8.429852,7.3251204,106.87756,71.52332,0.10241583,0.07887391,0.8689501,10.241583,7.887391,,Not identifiable from current files (missing China world imports and world total imports by year).
2017,11.595949,9.389904,140.8891,85.16699,0.11025286,0.08230551,0.80975723,11.025286,8.230552,,Not identifiable from current files (missing China world imports and world total imports by year).
2018,12.614952,10.768327,173.18051,96.243004,0.11188685,0.07284279,0.8536161,11.188685,7.2842793,,Not identifiable from current files (missing China world imports and world total imports by year).
2019,16.007734,13.577251,155.89752,104.72583,0.12964568,0.10268113,0.8481682,12.964567,10.268113,,Not identifiable from current files (missing China world imports and world total imports by year).
2020,13.673498,3.9105716,115.38954,72.864685,0.053668957,0.11849859,0.28599644,5.3668957,11.849859,,Not identifiable from current files (missing China world imports and world total imports by year).
2021,13.703805,4.8480463,147.16447,91.751564,0.05283884,0.09311897,0.35377374,5.283884,9.311897,,Not identifiable from current files (missing China world imports and world total imports by year).
2022,20.923542,7.1500015,202.34515,97.977905,0.07297565,0.10340521,0.34172043,7.297565,10.340521,,Not identifiable from current files (missing China world imports and world total imports by year).
2023,29.517372,33.54353,216.86366,153.07959,0.21912476,0.13611028,1.1363996,21.912476,13.611028,,Not identifiable from current files (missing China world imports and world total imports by year).
2024,29.794954,30.306862,243.1274,158.28963,0.19146462,0.12254874,1.017181,19.146461,12.254873,,Not identifiable from current files (missing China world imports and world total imports by year).
