year,bilateral_complementarity_proxy,note
2015,23.48209,Proxy based on KAZ-CHN bilateral sector shares; not canonical TCI using China global import structure.
2016,25.90999,Proxy based on KAZ-CHN bilateral sector shares; not canonical TCI using China global import structure.
2017,26.128418,Proxy based on KAZ-CHN bilateral sector shares; not canonical TCI using China global import structure.
2018,23.154694,Proxy based on KAZ-CHN bilateral sector shares; not canonical TCI using China global import structure.
2019,20.369864,Proxy based on KAZ-CHN bilateral sector shares; not canonical TCI using China global import structure.
2020,20.884472,Proxy based on KAZ-CHN bilateral sector shares; not canonical TCI using China global import structure.
2021,13.9647665,Proxy based on KAZ-CHN bilateral sector shares; not canonical TCI using China global import structure.
2022,15.9417095,Proxy based on KAZ-CHN bilateral sector shares; not canonical TCI using China global import structure.
2023,15.236205,Proxy based on KAZ-CHN bilateral sector shares; not canonical TCI using China global import structure.
2024,17.811893,Proxy based on KAZ-CHN bilateral sector shares; not canonical TCI using China global import structure.
